                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0661,                 2.6889,                 2.0679,                0.25842,                 0.4271,                0.24868,                 0.1341,                 1.9781,                 2.6411,                 2.0839,              1.667e-05,              1.667e-05,              1.667e-05
                      1,                  1.959,                 2.1525,                 1.9462,                0.26236,                0.43701,                0.25461,                0.14067,                 1.9204,                 2.5581,                 2.0225,              4.902e-05,              4.902e-05,              4.902e-05
                      2,                 2.1665,                 2.6442,                 2.1656,                  0.261,                0.46258,                0.30378,                0.17161,                 1.8264,                 2.3731,                 1.9202,             8.0049e-05,             8.0049e-05,             8.0049e-05
                      3,                 1.7117,                 2.0863,                 1.8684,                0.29838,                0.55422,                0.31103,                0.18308,                 1.7222,                 2.2182,                 1.8526,             0.00010976,             0.00010976,             0.00010976
                      4,                 1.6402,                 2.1233,                 1.7564,                0.35184,                0.82027,                0.38207,                 0.2433,                 1.6278,                 1.9932,                 1.7861,             0.00013815,             0.00013815,             0.00013815
                      5,                  1.589,                 1.5306,                 1.6856,                0.36588,                    0.9,                0.35368,                0.21915,                 1.6004,                 1.7382,                  1.729,             0.00016522,             0.00016522,             0.00016522
                      6,                 1.4626,                 1.5365,                 1.6961,                  0.413,                    0.9,                0.45352,                  0.281,                 1.6127,                 1.6438,                 1.6929,             0.00019096,             0.00019096,             0.00019096
                      7,                 1.1804,                 1.4756,                  1.509,                0.34904,                    0.9,                0.54379,                0.28659,                 1.6531,                  1.625,                 1.6717,             0.00021539,             0.00021539,             0.00021539
                      8,                 1.2788,                 1.3901,                  1.467,                0.33122,                    0.9,                0.59161,                0.34188,                 1.6562,                 1.6414,                 1.6677,              0.0002385,              0.0002385,              0.0002385
                      9,                 1.6268,                 1.6442,                 1.8339,                0.32966,                    0.9,                0.59134,                0.33652,                 1.6532,                 1.6184,                 1.6664,             0.00026029,             0.00026029,             0.00026029
                     10,                 1.4986,                 1.5876,                 1.5237,                0.35062,                    0.9,                0.62081,                0.33333,                 1.6472,                 1.5995,                 1.6698,             0.00028076,             0.00028076,             0.00028076
                     11,                 1.1991,                 1.0954,                 1.4179,                0.37912,                    0.9,                0.71399,                0.40955,                 1.6056,                 1.5703,                 1.6529,              0.0002999,              0.0002999,              0.0002999
                     12,                 1.1924,                 1.3287,                 1.3984,                0.40404,                    0.9,                0.75798,                0.44465,                  1.577,                 1.5657,                 1.6363,             0.00031773,             0.00031773,             0.00031773
                     13,                 1.2711,                 1.3354,                 1.4152,                0.43431,                    0.9,                0.79282,                0.46896,                 1.5522,                 1.5484,                 1.6152,             0.00033424,             0.00033424,             0.00033424
                     14,                 1.2418,                 1.1949,                 1.4843,                0.59542,                    0.9,                0.85822,                0.48393,                 1.5249,                 1.4403,                  1.595,             0.00034942,             0.00034942,             0.00034942
                     15,                 1.0573,                 1.2872,                 1.2713,                0.63045,                    0.9,                0.85863,                0.49919,                  1.477,                 1.3643,                 1.5601,             0.00036329,             0.00036329,             0.00036329
                     16,                 1.2088,                 1.1739,                 1.3372,                0.57181,                    0.9,                0.85887,                 0.5158,                 1.4506,                 1.2764,                 1.5327,             0.00037584,             0.00037584,             0.00037584
                     17,                   1.45,                 1.4901,                 1.7138,                0.67854,                    0.9,                0.90068,                0.53487,                   1.43,                 1.1814,                   1.51,             0.00038706,             0.00038706,             0.00038706
                     18,                 1.2098,                 1.2388,                 1.3358,                0.72143,                    0.9,                0.90053,                0.53606,                 1.4203,                 1.0894,                 1.4895,             0.00039697,             0.00039697,             0.00039697
                     19,                 1.0368,                  1.055,                 1.3473,                0.73964,                0.89311,                0.90038,                0.53466,                 1.4049,                 1.0105,                 1.4768,             0.00040555,             0.00040555,             0.00040555
                     20,                 1.0575,                 1.1248,                  1.379,                0.75822,                0.87676,                0.91881,                 0.5297,                 1.4141,                0.99374,                 1.4773,             0.00041282,             0.00041282,             0.00041282
                     21,                 1.2491,                 1.3188,                 1.4064,                0.88325,                0.81815,                0.93346,                 0.5358,                  1.449,                0.99702,                 1.4977,             0.00041876,             0.00041876,             0.00041876
                     22,                0.96218,                 1.0496,                  1.217,                0.91037,                0.81709,                0.93346,                0.55674,                 1.4855,                0.99064,                 1.5136,             0.00042338,             0.00042338,             0.00042338
                     23,                 1.0462,                 1.0659,                 1.3433,                0.91088,                0.81582,                0.93346,                0.52881,                 1.5268,                 1.0063,                 1.5288,             0.00042669,             0.00042669,             0.00042669
                     24,                0.98684,                0.92289,                 1.1809,                0.90255,                 0.8095,                0.92833,                0.54315,                 1.5703,                  1.009,                 1.5578,             0.00042867,             0.00042867,             0.00042867
                     25,                0.96241,                0.97548,                 1.2036,                0.82115,                0.85359,                0.89912,                 0.5258,                 1.5744,                 1.0005,                 1.5516,             0.00042934,             0.00042934,             0.00042934
                     26,                 0.9681,                 1.0736,                  1.353,                0.79953,                0.87312,                0.85787,                0.48343,                 1.5759,                 1.0102,                 1.5426,             0.00042868,             0.00042868,             0.00042868
                     27,                0.78899,                0.83996,                  1.125,                0.79953,                0.87312,                0.85787,                0.48343,                 1.5759,                 1.0102,                 1.5426,              0.0004267,              0.0004267,              0.0004267
                     28,                0.91286,                 1.0079,                 1.3353,                0.84718,                    0.8,                0.82462,                0.44049,                 1.5857,                0.99128,                 1.5475,              0.0004234,              0.0004234,              0.0004234
                     29,                 1.0265,                 0.9757,                 1.3808,                0.84557,                    0.8,                0.83842,                0.45905,                 1.6137,                0.96797,                 1.5758,             0.00041879,             0.00041879,             0.00041879
                     30,                 1.0655,                 1.0877,                 1.2204,                0.84557,                    0.8,                0.83842,                0.45905,                 1.6137,                0.96797,                 1.5758,             0.00041285,             0.00041285,             0.00041285
                     31,                 1.0377,                  1.183,                 1.3662,                0.82045,                    0.8,                0.83832,                0.44301,                 1.6499,                0.96715,                 1.6167,             0.00040559,             0.00040559,             0.00040559
                     32,                0.92644,                0.91054,                 1.2324,                0.79881,                0.84521,                0.85863,                0.45748,                 1.6383,                  0.977,                 1.6227,             0.00039701,             0.00039701,             0.00039701
                     33,                 0.9942,                0.88002,                 1.2218,                0.79881,                0.84521,                0.85863,                0.45748,                 1.6383,                  0.977,                 1.6227,             0.00038711,             0.00038711,             0.00038711
                     34,                 1.0589,                 1.1323,                   1.27,                0.78339,                0.85049,                  0.834,                0.42146,                 1.6526,                  1.042,                 1.6344,              0.0003759,              0.0003759,              0.0003759
                     35,                0.81616,                  0.815,                 1.1725,                0.73314,                0.88651,                0.83367,                0.43755,                 1.6747,                 1.1181,                 1.6459,             0.00036336,             0.00036336,             0.00036336
                     36,                 0.8848,                0.92166,                 1.1447,                0.73314,                0.88651,                0.83367,                0.43755,                 1.6747,                 1.1181,                 1.6459,              0.0003495,              0.0003495,              0.0003495
                     37,                0.88912,                0.94548,                 1.1255,                0.72971,                0.89167,                0.85096,                0.44352,                 1.6909,                 1.1756,                 1.6624,             0.00033432,             0.00033432,             0.00033432
                     38,                0.80946,                0.83758,                 1.1656,                0.71589,                0.95486,                 0.9125,                0.44121,                 1.6965,                 1.2465,                 1.6685,             0.00031782,             0.00031782,             0.00031782
                     39,                0.79138,                 0.7325,                  1.133,                0.71589,                0.95486,                 0.9125,                0.44121,                 1.6965,                 1.2465,                 1.6685,                 0.0003,                 0.0003,                 0.0003
                     40,                 0.9901,                0.88388,                 1.3194,                0.71277,                    0.9,                0.89583,                0.43925,                 1.6958,                 1.3027,                 1.6612,             0.00028086,             0.00028086,             0.00028086
                     41,                0.93257,                0.83829,                 1.2779,                0.69978,                0.88502,                0.89583,                0.44287,                 1.6583,                 1.3346,                 1.6522,              0.0002604,              0.0002604,              0.0002604
                     42,                0.99796,                 1.0853,                 1.3628,                0.69978,                0.88502,                0.89583,                0.44287,                 1.6583,                 1.3346,                 1.6522,             0.00023861,             0.00023861,             0.00023861
                     43,                0.75776,                0.84664,                 1.1468,                0.65384,                    0.9,                0.89583,                0.43427,                 1.6562,                 1.3636,                 1.6435,             0.00021551,             0.00021551,             0.00021551
                     44,                 0.9138,                0.84992,                 1.2396,                0.65384,                    0.9,                0.89583,                0.43427,                 1.6562,                 1.3636,                 1.6435,             0.00019109,             0.00019109,             0.00019109
                     45,                0.72382,                0.81815,                 1.0888,                0.64071,                    0.9,                0.89583,                0.43427,                  1.637,                 1.3756,                 1.6361,             0.00016535,             0.00016535,             0.00016535
                     46,                0.83265,                0.82077,                  1.165,                0.64071,                    0.9,                0.89583,                0.43427,                  1.637,                 1.3756,                 1.6361,             0.00013829,             0.00013829,             0.00013829
                     47,                0.86607,                0.81984,                 1.1267,                0.63522,                    0.9,                0.89583,                0.43428,                 1.6166,                 1.3632,                 1.6341,             0.00010991,             0.00010991,             0.00010991
                     48,                0.67144,                0.91425,                 1.1481,                0.63522,                    0.9,                0.89583,                0.43428,                 1.6166,                 1.3632,                 1.6341,             8.0203e-05,             8.0203e-05,             8.0203e-05
                     49,                0.91045,                0.80202,                 1.1743,                0.69424,                  0.852,                0.86806,                0.45507,                 1.6119,                 1.3359,                 1.6312,              4.918e-05,              4.918e-05,              4.918e-05
